Rotor # 	ABCDEFGHIJKLMNOPQRSTUVWXYZ 	Date Introduced 	Model Name & Number

IC 	DMTWSILRUYQNKFEJCAZBPGXOHV 	1924 	Commercial Enigma A, B
IIC 	HQZGPJTMOBLNCIFDYAWVEUSRKX 	1924 	Commercial Enigma A, B
IIIC 	UQNTLSZFMREHDPXKIBVYGJCWOA 	1924 	Commercial Enigma A, B
		
IR 	JGDQOXUSCAMIFRVTPNEWKBLZYH 	7 February 1941 	German Railway (Rocket)
IIR 	NTZPSFBOKMWRCJDIVLAEYUXHGQ 	7 February 1941 	German Railway (Rocket)
IIIR 	JVIUBHTCDYAKEQZPOSGXNRMWFL 	7 February 1941 	German Railway (Rocket)
UKW 	QYHOGNECVPUZTFDJAXWMKISRBL 	7 February 1941 	German Railway (Rocket)
ETW 	QWERTZUIOASDFGHJKPYXCVBNML 	7 February 1941 	German Railway (Rocket)
			
I-K 	PEZUOHXSCVFMTBGLRINQJWAYDK 	February 1939 	Swiss K
II-K 	ZOUESYDKFWPCIQXHMVBLGNJRAT 	February 1939 	Swiss K
III-K 	EHRVXGAOBQUSIMZFLYNWKTPDJC 	February 1939 	Swiss K
UKW-K 	IMETCGFRAYSQBZXWLHKDVUPOJN 	February 1939 	Swiss K
ETW-K 	QWERTZUIOASDFGHJKPYXCVBNML 	February 1939 	Swiss K
			
I 	EKMFLGDQVZNTOWYHXUSPAIBRCJ 	1930 	Enigma I
II 	AJDKSIRUXBLHWTMCQGZNPYFVOE 	1930 	Enigma I
III 	BDFHJLCPRTXVZNYEIWGAKMUSQO 	1930 	Enigma I
IV 	ESOVPZJAYQUIRHXLNFTGKDCMWB 	December 1938 	M3 Army
V 	VZBRGITYUPSDNHLXAWMJQOFECK 	December 1938 	M3 Army
VI 	JPGVOUMFYQBENHZRDKASXLICTW 	1939 	M3 & M4 Naval (FEB 1942)
VII 	NZJHGRCXMYSWBOUFAIVLPEKQDT 	1939 	M3 & M4 Naval (FEB 1942)
VIII 	FKQHTLXOCBJSPDZRAMEWNIUYGV 	1939 	M3 & M4 Naval (FEB 1942)
			
Beta 	LEYJVCNIXWPBQMDRTAKZGFUHOS 	Spring 1941 	M4 R2 
Gamma 	FSOKANUERHMBTIYCWLQPZXVGJD 	Spring 1942 	M4 R2
Reflector A 	EJMZALYXVBWFCRQUONTSPIKHGD 		
Reflector B 	YRUHQSLDPXNGOKMIEBFZCWVJAT 		
Reflector C 	FVPJIAOYEDRZXWGCTKUQSBNMHL 		
Reflector B Thin 	ENKQAUYWJICOPBLMDXZVFTHRGS 	1940 	M4 R1 (M3 + Thin)
Reflector C Thin 	RDOBJNTKVEHMLFCWZAXGYIPSUQ 	1940 	M4 R1 (M3 + Thin)
ETW 	ABCDEFGHIJKLMNOPQRSTUVWXYZ 		Enigma I 